carrier_name,ams_carrier_name_lowercase,glovebox_carrier_id,ontraport_carrier_id,Note,Website,MGA / Wholesaler
Bristol W Cas Ins Co,bristol w cas ins co,bristolwest,329,,,
Bristol W Cas Ins Co,bristol w cas ins co,bristolwest,329,,,
Bristol W Ins Co,bristol w ins co,bristolwest,329,,,
Bristol West,bristol west,bristolwest,329,,,
Bristol West Holdings Inc,bristol west holdings inc,bristolwest,329,,,
Bristol West Insurance Company,bristol west insurance company,bristolwest,329,,,
Bristol West Insurance Group,bristol west insurance group,bristolwest,329,,,
Bristol West Specialty Auto,bristol west specialty auto,bristolwest,329,,,
Builders Mutual Insurance Company,,,,"not mapping, commercial",https://www.buildersmutual.com/,
Bunker Hill Ins Co,bunker hill ins co,mapfre,52,,,
"Burns & Wilcox, Ltd",,,,not mapping yet,,TRUE
CA Fair Plan,ca fair plan,cafairplan,626,,,
Ca Fair Plan,ca fair plan,cafairplan,626,,,
Cabrillo,cabrillo,cabrillo,529,,,
Cabrillo Coastal,cabrillo coastal,cabrillo,529,,,
Cabrillo Coastal General Insurance,cabrillo coastal general insurance,cabrillo,529,,,
Cabrillo Coastal Homeowners,cabrillo coastal homeowners,cabrillo,529,,,
Cabrillo Coastal Insurance,cabrillo coastal insurance,cabrillo,529,,,
Cabrillo Coastal- Surplus Home XML,cabrillo coastal- surplus home xml,cabrillo,529,,,
Cabrillo Coastal/Pacific Coastal,cabrillo coastal/pacific coastal,cabrillo,529,,,
Cabrillo Costal General Insurance Agency Inc.,cabrillo costal general insurance agency inc.,cabrillo,529,,,
Cabrillo General Insurance Agency,cabrillo general insurance agency,cabrillo,529,,,
California Automobile Insurance,california automobile insurance,mercury,33,,,
California Automobile Insurance Company - CA,california automobile insurance company - ca,mercury,33,,,
California Capital Ins Co,california capital ins co,capital,591,,,
California Casualty Insurance,california casualty insurance,californiacasualty,103,,,
CALIFORNIA FAIR PLAN,california fair plan,cafairplan,626,,,
California Fair Plan,california fair plan,cafairplan,626,,,
California Fair Plan Association,california fair plan association,cafairplan,626,,,
Cambridge Brokerage Grp,cambridge brokerage grp,travelers,16,,,
Cameron,cameron,cameroninsurance,594,,,
Cameron Insurance,cameron insurance,cameroninsurance,594,,,
Cameron Mutual,cameron mutual,cameroninsurance,594,,,
Cameronn Mutual,cameronn mutual,cameroninsurance,594,,,
Canopius US Insurance Inc,,,,not mapping yet,https://www.chris-leef.comm,TRUE
Capital Insurance Group,capital insurance group,capital,591,,,
Capital Preferred Insurance,capital preferred insurance,capitalpreferred,509,,,
Capitol Preferred,capitol preferred,capitalpreferred,509,,,
Capitol Preferred Ins. Co.,capitol preferred ins. co.,capitalpreferred,509,,,
Cascade Mutual Farmers,cascade mutual farmers,cascadefarmers,679,,,
Celina,celina,celina,536,,,
Celina Insurance,celina insurance,celina,536,,,
Celina Insurance Group,celina insurance group,celina,536,,,
CEM Insurance,cem insurance,cem,135,,,
Centauri Insurance,centauri insurance,centauri,604,,,
Centauri,centauri,centauri,604,,,
Centauri Speciality,centauri speciality,centauri,604,,,
Centauri Speciality Ins Co,centauri speciality ins co,centauri,604,,,
Centauri Specialty Insurance,centauri specialty insurance,centauri,85,,,
CENTER MUTUAL,center mutual,centermutual,650,,,
Center Mutual Insurance,center mutual insurance,centermutual,650,,,
Center Mutual Insurance Company,center mutual insurance company,centermutual,650,,,
Central Insurance,central insurance,central,82,,,
Central Insurance Companies,central insurance companies,central,82,,,
Central Mutual Insurance Companies,central mutual insurance companies,central,82,,,
Central Mutual Insurance Company,central mutual insurance company,central,82,,,
Central Mutual Of Ohio,central mutual of ohio,central,82,,,
Certain Underwriters at Lloyds of London (SSIU),certain underwriters at lloyds of london (ssiu),southshore,580,,,
CFM Ins Inc,cfm ins inc,cfmins,692,,,
CFM Insurance,cfm insurance,cfmins,692,,,
CGA Insurance Services,,,,not mapping yet,,TRUE
Champion Insurance Services,,,,not mapping yet,https://crcgroup.com,TRUE
Charter Oak Fire Ins Co,charter oak fire ins co,travelers,16,,,
Chris-Leef General Agency,,,,not mapping yet,https://www.cgainsuranceservices.com,TRUE
Chubb,chubb,chubb,6,,,
Chubb & Son,chubb & son,chubb,6,,,
"Chubb & Son, Inc.","chubb & son, inc.",chubb,6,,,
Chubb Group,chubb group,chubb,6,,,
Chubb Group (ACE),chubb group (ace),chubb,6,,,
Chubb Group of Ins Co''s,chubb group of ins co''s,chubb,6,,,
Chubb Group of Ins Companies,chubb group of ins companies,chubb,6,,,
Chubb Group of Insurance,chubb group of insurance,chubb,6,,,
Chubb Group of Insurance Companies,chubb group of insurance companies,chubb,6,,,
Chubb Inc Grp,chubb inc grp,chubb,6,,,
Chubb Ins Co,chubb ins co,chubb,6,,,
Chubb Insurance,chubb insurance,chubb,6,,,
Chubb Insurance Company,chubb insurance company,chubb,6,,,
Chubb Insurance Group,chubb insurance group,chubb,6,,,
chubb Insurance Solutions,chubb insurance solutions,chubb,6,,,
CHUBB LLOYDS INS CO OF TX,chubb lloyds ins co of tx,chubb,6,,,
Chubb National Insurance Company,chubb national insurance company,chubb,6,,,
Chubb Natl Ins Co,chubb natl ins co,chubb,6,,,
Chubb Personal Insurance,chubb personal insurance,chubb,6,,,
Chubb Recreational Marine,chubb recreational marine,chubb,6,,,
Chubb-Federal,chubb-federal,chubb,6,,,
Chubb-Pac Ind,chubb-pac ind,chubb,6,,,
Chubb-Vigilant,chubb-vigilant,chubb,6,,,
Cincinnati,cincinnati,cincinnati,23,,,
Cincinnati Insurance Co,cincinnati insurance co,cincinnati,23,,,
Cincinnati Insurance Companies,cincinnati insurance companies,cincinnati,23,,,
Cincinnati Insurance Company,cincinnati insurance company,cincinnati,23,,,
Citizen's Property Insurance,citizen's property insurance,citizensproperty,70,,,
Citizens Ins. of America,citizens ins. of america,hanover,12,,,
Citizens Insurance Co Of Amer,citizens insurance co of amer,hanover,12,,,
Citizens Insurance Co. of Ohio,citizens insurance co. of ohio,hanover,12,,,
CITIZENS INSURANCE COMPANY,citizens insurance company,hanover,12,,,
Citizens Insurance Company of America,citizens insurance company of america,hanover,12,,,
Citizens of Mid West,citizens of mid west,hanover,12,,,
Citizens Prop Ins Corp,citizens prop ins corp,citizensproperty,70,,,
Citizens Prop Ins. Corp.,citizens prop ins. corp.,citizensproperty,70,,,
Citizens Property,citizens property,citizensproperty,70,,,
Citizens Property Insurance,citizens property insurance,citizensproperty,70,,,
Citizens Property Insurance Clearing House,citizens property insurance clearing house,citizensproperty,70,,,
Citizens Property Insurance Corporation,citizens property insurance corporation,citizensproperty,70,,,
Civil Service Employees Insurance Company,civil service employees insurance company,cse,5,,,
Clear Blue Insurance Company,,,,not mapping yet,http://www.clearblueinsurancegroup.com/,TRUE
Clear Blue Specialty Insurance,,,,not mapping yet,https://www.commonwealthcasualty.com/,TRUE
Clearcover,clearcover,clearcover,49,,,
Clearcover Insurance,clearcover insurance,clearcover,49,,,
"Clearcover, Inc.","clearcover, inc.",clearcover,49,,,
Coast Natl Ins Co,coast natl ins co,farmers,2,,,
Coastal Insurance Underwriters,coastal insurance underwriters,coastalinsuw,665,,,
Coastal Select,coastal select,coastalselect,151,,,
Coastal Select Ins Co,coastal select ins co,coastalselect,151,,,
Coastal Select Insurance,coastal select insurance,coastalselect,151,,,
Coastal Select Insurance,coastal select insurance,coastalselect,151,,,
Coastal Select Insurance Co,coastal select insurance co,coastalselect,151,,,
Coastal Select Insurance Company,coastal select insurance company,coastalselect,151,,,
Colonial County Mutual Insurance Company,colonial county mutual insurance company,nationwide,20,,,
Columbia Insurance Group,columbia insurance group,columbiagrp,619,,,
Columbia Lloyds,columbia lloyds,columbialloyds,671,,,
COLUMBIA LLOYDS INS CO,columbia lloyds ins co,columbialloyds,671,,,
COMMERCE WEST,commerce west,mapfre,52,,,
Common Wealth MGA,,,,not mapping yet,https://www.deanshomer.com/site/index,TRUE
Commonwealth Cas Co.,commonwealth cas co.,commonwealth,550,,,
Commonwealth Casualty,commonwealth casualty,commonwealth,550,,,
Commonwealth Casualty Company,commonwealth casualty company,commonwealth,550,,,
Concord Group Insurance,concord group insurance,concordgroup,562,,,
Concord Group Insurance Co,concord group insurance co,concordgroup,562,,,
CONCORDE GENERAL AGENCY,concorde general agency,concordegeneral,669,,,
Concorde General Agency,concorde general agency,concordegeneral,669,,,
Condon & Skelly,condon & skelly,candonskelly,588,,,
Condon Skelly,condon skelly,candonskelly,588,,,
Conifer Insurance Company,conifer insurance company,coniferins,634,,,
Connect Insurance,connect insurance,connect,156,,,
Consumers Insurance,consumers insurance,encova,94,,,
Cornerstone,cornerstone,cornerstone,610,,,
Cornerstone National Insurance,cornerstone national insurance,cornerstone,610,,,
Cornerstone National Insurance Company,cornerstone national insurance company,cornerstone,610,,,
Country Financial,country financial,country,50,,,
Countryway Insurance Company,countryway insurance company,countryway,724,,,
Craig & Leicht,,,,not mapping,https://www.craigandleicht.com/,
CRC Dallas,,,,not mapping yet,https://crcgroup.com,TRUE
CRC Group,,,,not mapping yet,http://www.clearblueinsurancegroup.com/,TRUE
Crestbrook Insurance Company,crestbrook insurance company,nationwidepc,595,,,
Crestbrook Insurance Company (a Nationwide Private Client company),crestbrook insurance company (a nationwide private client company),nationwidepc,595,,,
CSAA Insurance,csaa insurance,csaa,65,,,
CSE,cse,cse,5,,,
CSE (Civil Service Employees Insurance Company),cse (civil service employees insurance company),cse,5,,,
CSE Insurance,cse insurance,cse,5,,,
CSE Insurance Group,cse insurance group,cse,5,,,
CSE SAFEGUARD INS CO,cse safeguard ins co,cse,5,,,
Cumberland Insurance Group,cumberland insurance group,cumberland,579,,,
Cumberland Mutual,cumberland mutual,cumberland,579,,,
Cypress,cypress,cypress,92,,,
Cypress Property and Casualty,cypress property and casualty,cypress,92,,,
Cypress Texas Insurance Company,cypress texas insurance company,cypress,92,,,
CYPRESS TEXAS LLOYDS,cypress texas lloyds,cypress,92,,,
Cypress Texas Lloyds,cypress texas lloyds,cypress,92,,,
Dairyland,dairyland,dairyland,58,,,
Dairyland Auto,dairyland auto,dairyland,58,,,
Dairyland Auto (Sentry Group),dairyland auto (sentry group),dairyland,58,,,
DAIRYLAND AUTO/CYCLE,dairyland auto/cycle,dairyland,58,,,
Dairyland Cnty Mut Ins Co Of TX,dairyland cnty mut ins co of tx,dairyland,58,,,
DAIRYLAND CYCLE,dairyland cycle,dairyland,58,,,
Dairyland Ins Co,dairyland ins co,dairyland,58,,,
Dairyland Insurance,dairyland insurance,dairyland,58,,,
Dairyland Insurance (Viking),dairyland insurance (viking),dairyland,58,,,
Dairyland Insurance Com.,dairyland insurance com.,dairyland,58,,,
Dairyland Insurance Company,dairyland insurance company,dairyland,58,,,
Dairyland Insurance Company/Viking,dairyland insurance company/viking,dairyland,58,,,
DAIRYLAND SPECIALITY,dairyland speciality,dairyland,58,,,
Dairyland/Viking,dairyland/viking,dairyland,58,,,
DairylandAuto,dairylandauto,dairyland,58,,,
Dallas Mutual,dallas mutual,dallasmutual,703,,,
Deans and Homer,,,,not mapping yet,https://dgainc.comm,TRUE
DeCotis Insurance,decotis insurance,decotis,645,,,
DeCotis Insurance Associates,decotis insurance associates,decotis,645,,,
DEERBROOK INS CO,deerbrook ins co,allstate,45,,,
Delta General Agency,,,,not mapping yet,https://www.getfci.com/page/contact_us,TRUE
DEPOSITORS INS CO,depositors ins co,nationwide,20,,,
DGA Insurance Services,,,,not mapping yet,https://dgainc.comm,TRUE
Diamond State Insurance Company,,,,not mapping,https://www.diamondstategroup.com/Default.aspx,
DIAMOND STATE INSURANCE COMPANY,,,,not mapping,https://www.diamondstategroup.com/Default.aspx,
Direct Gen Ins Co,direct gen ins co,directauto,738,,,
Direct General Insurance Company,direct general insurance company,directauto,738,,,
Discovery Insurance Company,discovery insurance company,discovery,707,,,
DONEGAL INS GROUP,donegal ins group,donegal,83,,,
Donegal Insurance,donegal insurance,donegal,83,,,
Donegal Insurance Group,donegal insurance group,donegal,83,,,
Donegal Mutual Insurance,donegal mutual insurance,donegal,83,,,
DONEGAL MUTUAL INSURANCE COMPANIES,donegal mutual insurance companies,donegal,83,,,
Dryden Mutual,dryden mutual,dryden,674,,,
Dryden Mutual Ins Company,dryden mutual ins company,dryden,674,,,
Dryden Mutual Insurance Company,dryden mutual insurance company,dryden,674,,,
Eastern Mutual Insurance Company,eastern mutual insurance company,easternmutual,698,,,
ECM,,,,"not mapping, mostly farm",https://www.everettcash.com/everettcashweb/,
Edison Ins Co,edison ins co,edison,540,,,
Edison Insurance,edison insurance,edison,540,,,
Edison Insurance  Company,edison insurance  company,edison,540,,,
Edison Insurance Company,edison insurance company,edison,540,,,
Electric,electric,electric,40,,,
Electric Insurance,electric insurance,electric,40,,,
Elephant Insurance,elephant insurance,elephant,122,,,
ELLINGTON MUT INS CO,ellington mut ins co,ellington,732,,,
EMC,emc,emcinsurance,548,,,
EMC Insurance,emc insurance,emcinsurance,548,,,
EMC Insurance Companies,emc insurance companies,emcinsurance,548,,,
Employers Mutual Casualty Company,employers mutual casualty company,emcinsurance,548,,,
EMPOWER  INS GROUP,empower  ins group,empower,663,,,
Empower Insurance,empower insurance,empower,663,,,
Encompass,encompass,encompass,4,,,
"Encompass Financial Group, LLC","encompass financial group, llc",encompass,4,,,
Encompass Home and Auto,encompass home and auto,encompass,4,,,
Encompass Ins Company,encompass ins company,encompass,4,,,
Encompass Ins Company (use),encompass ins company (use),encompass,4,,,
Encompass Ins. Company of,encompass ins. company of,encompass,4,,,
Encompass Property and Ca,encompass property and ca,encompass,4,,,
Encompass Home & Auto Ins Co,encompass home & auto ins co,encompass,4,,,
Encompass Ind Co,encompass ind co,encompass,4,,,
Encompass Indemnity Company,encompass indemnity company,encompass,4,,,
ENCOMPASS INDEPENDENT INS CO,encompass independent ins co,encompass,4,,,
Encompass Ins. Co.,encompass ins. co.,encompass,4,,,
Encompass Insurance,encompass insurance,encompass,4,,,
Encompass Insurance Company,encompass insurance company,encompass,4,,,
Encompass Insurance Group,encompass insurance group,encompass,4,,,
Encompass Property & Casualty,encompass property & casualty,encompass,4,,,
Encova Insurance,encova insurance,encova,94,,,
Enumclaw,enumclaw,enumclaw,100,,,
Enumclaw Insurance Group,enumclaw insurance group,enumclaw,100,,,
Equity Ins Co,equity ins co,homestate,116,,,
Equity Insurance Company,equity insurance company,homestate,116,,,
Erie,erie,erie,64,,,
Erie & Niagara Ins. Co.,erie & niagara ins. co.,erieniagra,684,,,
Erie & Niagra Ins Assoc,erie & niagra ins assoc,erieniagra,684,,,
Erie and Niagara Insurance Association,erie and niagara insurance association,erie,64,,,
Erie Indemnity Company,erie indemnity company,erie,64,,,
Erie Ins Co,erie ins co,erie,64,,,
Erie Ins Exch,erie ins exch,erie,64,,,
Erie Ins Exch Grp,erie ins exch grp,erie,64,,,
Erie Ins Grp,erie ins grp,erie,64,,,
Erie Insurance,erie insurance,erie,64,,,
Erie Insurance Company,erie insurance company,erie,64,,,
Erie Insurance Exchange,erie insurance exchange,erie,64,,,
Erie Insurance Group,erie insurance group,erie,64,,,
Erie Insurance Property/Casualty,erie insurance property/casualty,erie,64,,,
Essentia Ins Co,essentia ins co,markel,666,,,
Esurance,esurance,esurance,3,,,
Evanston Ins Co,evanston ins co,markel,666,,,
"Evolution Risk Advisors, Inc","evolution risk advisors, inc",universal,27,,,
"Evolution Risk Advisors, Inc.","evolution risk advisors, inc.",universal,27,,,
Excellent Insurance,excellent insurance,excellentins,697,,,
FAIR Plan,fair plan,cafairplan,626,,,
Falcon Insurance,falcon insurance,falconins,705,,,
Family Security Ins Co Inc,family security ins co inc,upc,606,,,
Farmers,farmers,farmers,2,,,
Farmers Alliance,farmers alliance,farmersalliance,517,,,
Farmers Alliance Companies,farmers alliance companies,farmersalliance,517,,,
FARMERS ALLIANCE MUTUAL INS,farmers alliance mutual ins,farmersalliance,517,,,
FARMERS MUT INS CO OF NE,farmers mut ins co of ne,farmersmutualnb,710,,,
Farmers Mutual Insurance Co,farmers mutual insurance co,farmersmutual,583,,,
Farmers Mutual Insurance of TN,farmers mutual insurance of tn,farmersmutualtn,723,,,
Farmers Mutual of Nebraska,farmers mutual of nebraska,farmersmutualnb,710,,,
Farmers of Salem,farmers of salem,farmerssalem,701,,,
Farmington Cas Co,farmington cas co,travelers,16,,,
Federal Emergency Mgmt Agency,federal emergency mgmt agency,fema,747,,,
FEDERAL INS CO,federal ins co,chubb,6,,,
Federated National,federated national,fednat,69,,,
Federated National Ins Co,federated national ins co,fednat,69,,,
Federated National Insurance Company,federated national insurance company,fednat,69,,,
Federated Natl Ins Co,federated natl ins co,fednat,69,,,
FedNat,fednat,fednat,69,,,
FedNat Ins Co,fednat ins co,fednat,69,,,
Fednat Insurance,fednat insurance,fednat,69,,,
FEMA,fema,fema,747,,,
Fic Unitirin,fic unitirin,kemper,22,,,
Fidelity National,fidelity national,stillwater,60,,,
Fidelity National Property,fidelity national property,stillwater,60,,,
FIDELITY NATL PROP & CAS INS CO,fidelity natl prop & cas ins co,stillwater,60,,,
Figo,figo,figopet,618,,,
Figo Pet,figo pet,figopet,618,,,
Figo Pet Insurance,figo pet insurance,figopet,618,,,
Fireman's Fund Insurance Company,fireman's fund insurance company,chubb,6,,,
First Amer Title Grp,first amer title grp,firstamerican,149,,,
FIRST AMERICAN,first american,firstamerican,149,,,
First American Insurance,first american insurance,firstamerican,149,,,
First American Property & Casualty,first american property & casualty,firstamerican,149,,,
First American Specialty Insurance Company,first american specialty insurance company,firstamericansp,624,,,
First Chicago Insurance Company,first chicago insurance company,firstchicago,160,,,
First Community Ins Co,,,,not mapping yet,,TRUE
First Community Ins Co,first community ins co,bankersinsurance,544,,,
First Mutual Insurance,first mutual insurance,firstmutual,638,,,
First Nat Ins (Safeco),first nat ins (safeco),safeco,18,,,
Florida Family,florida family,floridafamily,573,,,
Florida Family Group,florida family group,floridafamily,573,,,
Florida Family Insurance,florida family insurance,floridafamily,573,,,
Florida Family Insurance Company,florida family insurance company,floridafamily,573,,,
Florida Peninsula,florida peninsula,floridapeninsula,539,,,
Florida Peninsula Ins Co,florida peninsula ins co,floridapeninsula,539,,,
Florida Peninsula Insurance,florida peninsula insurance,floridapeninsula,539,,,
Florida Peninsula Insurance Co.,florida peninsula insurance co.,floridapeninsula,539,,,
Florida Peninsula Insurance Company,florida peninsula insurance company,floridapeninsula,539,,,
Florida Specialty Insurance,florida specialty insurance,floridaspecialty,107,,,
Foremo - Foremost Insurance Company,foremo - foremost insurance company,foremost,142,,,
Foremost,foremost,foremost,142,,,
Foremost,foremost,foremost,142,,,
FOREMOST (AUTO),foremost (auto),foremost,142,,,
Foremost Animal & Utility Trailer,foremost animal & utility trailer,foremost,142,,,
Foremost AUTO/Bristol West,foremost auto/bristol west,bristolwest,329,,,
Foremost Cnty Mut Ins Co,foremost cnty mut ins co,foremost,142,,,
Foremost Distinct Choice,foremost distinct choice,foremost,142,,,
FOREMOST FLOOD,,,,,,
Foremost Group,foremost group,foremost,142,,,
Foremost Home,foremost home,foremost,142,,,
FOREMOST INS,foremost ins,foremost,142,,,
FOREMOST INS CO,foremost ins co,foremost,142,,,
Foremost Ins Co Grand Rapids MI,foremost ins co grand rapids mi,foremost,142,,,
Foremost Ins Co Grand Rapids MI_Copy,foremost ins co grand rapids mi_copy,foremost,142,,,
Foremost Ins Group,foremost ins group,foremost,142,,,
Foremost Insurance,foremost insurance,foremost,142,,,
FOREMOST INSURANCE,foremost insurance,foremost,142,,,
Foremost Insurance Co,foremost insurance co,foremost,142,,,
Foremost Insurance Co -MHD Retail,foremost insurance co -mhd retail,foremost,142,,,
Foremost Insurance Company,foremost insurance company,foremost,142,,,
Foremost Insurance Group,foremost insurance group,foremost,142,,,
FOREMOST LLOYDS OF TX,foremost lloyds of tx,foremost,142,,,
Foremost MobileHome,foremost mobilehome,foremost,142,,,
Foremost Motor Home,foremost motor home,foremost,142,,,
Foremost Motorycle,foremost motorycle,foremost,142,,,
Foremost ORV,foremost orv,foremost,142,,,
Foremost Prop & Cas,foremost prop & cas,foremost,142,,,
Foremost Prop & Cas Ins Co,foremost prop & cas ins co,foremost,142,,,
Foremost Specialty,foremost specialty,foremost,142,,,
FOREMOST STAR,foremost star,foremost,142,,,
Foremost STAR Insurance,foremost star insurance,foremost,142,,,
Foremost Travel Trailer,foremost travel trailer,foremost,142,,,
ForemostSTAR (SPECIALTY),foremoststar (specialty),foremost,142,,,
"FOREMOSTSTAR(HOME, FIRE & SPECIALITY)","foremoststar(home, fire & speciality)",foremost,142,,,
Frankenmuth Insurance,frankenmuth insurance,frankenmuth,28,,,
Frankenmuth Mutual,frankenmuth mutual,frankenmuth,28,,,
Frankenmuth Mutual Insurance Co,frankenmuth mutual insurance co,frankenmuth,28,,,
Franklin Flood LLC,,,,not mapping yet,https://www.gorstcompass.com/corporate-profile/,TRUE
Franklin Flood LLC,,,,"not mapping, no portal",http://www.premierflood.com/,
Franklin Mutual Insurance,franklin mutual insurance,frankenmuth,28,,,
Fred Loya,fred loya,fredloya,112,,,
Freedom Specialty Ins Co,freedom specialty ins co,nationwide,20,,,
Fremont Insurance,fremont insurance,fremontinsurance,511,,,
Fremont Insurance Company,fremont insurance company,fremontinsurance,511,,,
Frontline,frontline,frontline,71,,,
Frontline Ins Unlimited,frontline ins unlimited,frontline,71,,,
Frontline Insurance,frontline insurance,frontline,71,,,
Frontline Insurance Managers,frontline insurance managers,frontline,71,,,
GAINSCO,gainsco,gainsco,150,,,
Gainsco Auto Insurance,gainsco auto insurance,gainsco,150,,,
Gateway Specialty Insurance,,,,"not mapping, commercial",https://www.gatewayspecialty.com,
Gateway Underwriters Agency,,,,"not mapping, commercial",https://www.gatewayspecialty.com,
Geico,geico,geico,11,,,
GENERAL INS CO OF AMER,general ins co of amer,safeco,18,,,
Geo Vera,geo vera,geovera,596,,,
Georgia Underwriting Association,georgia underwriting association,georgiauwass,741,,,
GeoVera,geovera,geovera,596,,,
GeoVera Holdings,geovera holdings,geovera,596,,,
Geovera Holdings Inc Grp,geovera holdings inc grp,geovera,596,,,
Geovera Ins Co,geovera ins co,geovera,596,,,
Geovera Insurance,geovera insurance,geovera,596,,,
Geovera Insurance Company,geovera insurance company,geovera,596,,,
GeoVera Specialty,geovera specialty,geovera,596,,,
GEOVERA SPECIALTY INS CO,geovera specialty ins co,geovera,596,,,
GeoVera Specialty Insurance Co,geovera specialty insurance co,geovera,596,,,
GeoVera Specialty Insurance Company,geovera specialty insurance company,geovera,596,,,
Germania,germania,germania,41,,,
Germania Farm Mutual Ins. Association,germania farm mutual ins. association,germania,41,,,
GERMANIA INS GRP,germania ins grp,germania,41,,,
Germania Insurance,germania insurance,germania,41,,,
Germania Insurance Co.,germania insurance co.,germania,41,,,
Germania Insurance Company,germania insurance company,germania,41,,,
GERMANTOWN MUT,germantown mut,germantown,512,,,
Germantown Mutual Ins Co,germantown mutual ins co,germantown,512,,,
Germantown Mutual Insurance,germantown mutual insurance,germantown,512,,,
GMAC - Affinity,gmac - affinity,nationalgeneral,21,,,
GMAC - New South,gmac - new south,nationalgeneral,21,,,
Go Insurance,go insurance,goauto,123,,,
GoAuto Insurance,goauto insurance,goauto,123,,,
Golden Bear,golden bear,goldenbear,597,,,
Golden Bear Ins Co,golden bear ins co,goldenbear,597,,,
Golden Bear Ins. Co.,golden bear ins. co.,goldenbear,597,,,
Golden Bear Insurance,golden bear insurance,goldenbear,597,,,
Golden Bear Insurance Co,golden bear insurance co,goldenbear,597,,,
Golden Bear Insurance Company,golden bear insurance company,goldenbear,597,,,
Good2Go Auto Insurance,good2go auto insurance,goodtogoauto,121,,,
Goodville Mutual,goodville mutual,goodville,519,,,
Graham-Rogers Insurance,,,,"not mapping, commercial E&S",https://www.graham-rogers.comm,
Grange - Grange Mutual,grange - grange mutual,grange,59,,,
Grange - Grange Property & Casualty,grange - grange property & casualty,grange,59,,,
Grange - Trustgard,grange - trustgard,grange,59,,,
GRANGE IND INS CO,grange ind ins co,grange,59,,,
Grange Indemity,grange indemity,grange,59,,,
GRANGE INDEMNITY,grange indemnity,grange,59,,,
Grange Insurance,grange insurance,grange,59,,,
Grange Insurance Association,grange insurance association,grangeassociation,630,,,
Grange Insurance Co Ohio,grange insurance co ohio,grange,59,,,
Grange Insurance Companies,grange insurance companies,grange,59,,,
GRANGE INSURANCE COMPANY,grange insurance company,grange,59,,,
GRANGE MUT FIRE INS CO,grange mut fire ins co,grange,59,,,
Grange Mut Ins Co Of Custer Cnty,grange mut ins co of custer cnty,grange,59,,,
Grange Mutual,grange mutual,grange,59,,,
GRANGE MUTUAL CASUALTY CO,grange mutual casualty co,grange,59,,,
Grange Mutual Casualty Company,grange mutual casualty company,grange,59,,,
Grange P&C,grange p&c,grange,59,,,
Grange Prop & Cas Ins Co,grange prop & cas ins co,grange,59,,,
Grange Property & Casualty Insurance Co.,grange property & casualty insurance co.,grange,59,,,
Grange Property & Casualty Insurance Co.,grange property & casualty insurance co.,grundy,581,,,
Grange Trustgard,grange trustgard,grange,59,,,
Great Lakes Cas Ins Co,great lakes cas ins co,johnsonjohnson,653,,,
Great Lakes Reinsurance,great lakes reinsurance,johnsonjohnson,653,,,
Great Northwest Ins Co,great northwest ins co,greatnorthwest,711,,,
Great Northwest Insurance Co,great northwest insurance co,greatnorthwest,711,,,
Griffin General Agency Inc,,,,not mapping yet,https://www.halcyonuw.com/,TRUE
Griffin Underwriting Services,griffin underwriting services,griffinuw,614,,,
Grinnell,grinnell,grinnell,124,,,
Grinnell Mutual,grinnell mutual,grinnell,124,,,
Grinnell Mutual Reinsurance Co,grinnell mutual reinsurance co,grinnell,124,,,
Grinnell Mutual Reinsurance Company,grinnell mutual reinsurance company,grinnell,124,,,
Grinnell Select Insurance Company,grinnell select insurance company,grinnell,124,,,
Growers Mutual Insurance Company,,,,not mapping yet,http://griffingeneralagency.com/coireq/,TRUE
Growers Mutual Insurance Company,,,,not mapping,https://growersmutual.com/,
Grundy,grundy,grundy,581,,,
Grundy Insurance,grundy insurance,grundy,581,,,
GRUNDY INSURANCE SERVICES,grundy insurance services,grundy,581,,,
Grundy Worldwide,grundy worldwide,grundy,581,,,
Guard,guard,berkshirehathaway,140,,,
Guard Insurance,guard insurance,berkshirehathaway,140,,,
Guard Insurance Companies,guard insurance companies,berkshirehathaway,140,,,
Guard Insurance Company,guard insurance company,berkshirehathaway,140,,,
GUARD INSURANCE COMPANY,guard insurance company,berkshirehathaway,140,,,
Guard Insurance Group,guard insurance group,berkshirehathaway,140,,,
Guard Network,guard network,berkshirehathaway,140,,,
Guide One Mutual,,,,"not mapping yet, commercial",,
GULFSTREAM PROP & CAS INS CO,gulfstream prop & cas ins co,gulfstream,86,,,
Gulfstream Property & Casualty Ins Co,gulfstream property & casualty ins co,gulfstream,86,,,
Gulfstream Property & Casualty Insurance,gulfstream property & casualty insurance,gulfstream,86,,,
Gulfstream Property & Casualty Insurance Company,gulfstream property & casualty insurance company,gulfstream,86,,,
Hagarty Insurance,hagarty insurance,hagerty,145,,,
HAGERTY,hagerty,hagerty,145,,,
Hagerty - Specialty Auto,hagerty - specialty auto,hagerty,145,,,
Hagerty Classic Auto & Boat Ins,hagerty classic auto & boat ins,hagerty,145,,,
Hagerty Classic Insurance,hagerty classic insurance,hagerty,145,,,
Hagerty Classic Insurance Company,hagerty classic insurance company,hagerty,145,,,
HAGERTY ESSENTIA INS CO,hagerty essentia ins co,hagerty,145,,,
HAGERTY INS,hagerty ins,hagerty,145,,,
HAGERTY INS AGENCY LLC,hagerty ins agency llc,hagerty,145,,,
"Hagerty Ins Agency, Inc.","hagerty ins agency, inc.",hagerty,145,,,
Hagerty Insurance,hagerty insurance,hagerty,145,,,
Hagerty Insurance Agency,hagerty insurance agency,hagerty,145,,,
